"STATION","NAME","DATE","TMAX","TMIN"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-01","62","38"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-02","63","36"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-03","59","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-04","60","35"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-05","61","32"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-06","58","31"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-07","56","32"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-08","55","41"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-09","56","33"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-10","55","30"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-11","58","35"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-12","54","30"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-13","57","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-14","56","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-15","51","30"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-16","50","36"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-17","55","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-18","58","36"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-19","48","39"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-20","55","37"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-21","56","37"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-22","60","41"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-23","58","41"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-24","61","38"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-25","61","49"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-26","63","43"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-27","62","40"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-28","60","39"
"USW00093227","NAPA CO AIRPORT, CA US","2020-01-29","65","37"
