Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2021,1,1,00:00,UTC,0.1,2,0.6,-,2.3,-1
2021,1,1,06:00,UTC,-,-,-,-4.8,-,-
2021,1,2,00:00,UTC,8.1,-1,-0.8,-,0.5,-1.7
2021,1,2,06:00,UTC,-,-,-,-1.2,-,-
2021,1,3,00:00,UTC,1.3,10,-3.1,-,-1.7,-3.7
2021,1,3,06:00,UTC,-,-,-,-3.3,-,-
2021,1,4,00:00,UTC,0,10,-2,-,-1.8,-3.5
2021,1,4,06:00,UTC,-,-,-,-3.6,-,-
2021,1,5,00:00,UTC,-1,9,-3.7,-,-1.7,-4.5
2021,1,5,06:00,UTC,-,-,-,-3.3,-,-
2021,1,6,00:00,UTC,0.1,8,-3.8,-,-3.3,-5.1
2021,1,6,06:00,UTC,-,-,-,-5.2,-,-
2021,1,7,00:00,UTC,1.8,8,-2.3,-,-1.3,-3.3
2021,1,7,06:00,UTC,-,-,-,-3.3,-,-
2021,1,8,00:00,UTC,0.1,10,-3.5,-,-2.7,-4.1
2021,1,8,06:00,UTC,-,-,-,-3.2,-,-
2021,1,9,00:00,UTC,0.1,10,-8.5,-,-3.6,-12.4
2021,1,9,06:00,UTC,-,-,-,-8,-,-
2021,1,10,00:00,UTC,6.3,10,-6.1,-,-1.6,-14.9
2021,1,10,06:00,UTC,-,-,-,-19,-,-
2021,1,11,00:00,UTC,2.8,20,-0.6,-,0.3,-1.6
2021,1,11,06:00,UTC,-,-,-,-1.6,-,-
2021,1,12,00:00,UTC,14,25,-1.3,-,-0.2,-2.1
2021,1,12,06:00,UTC,-,-,-,-2.3,-,-
2021,1,13,00:00,UTC,1.5,58,-6.8,-,-0.9,-9.2
2021,1,13,06:00,UTC,-,-,-,-6.8,-,-
2021,1,14,00:00,UTC,0,53,-15.6,-,-8.5,-20.6
2021,1,14,06:00,UTC,-,-,-,-12.9,-,-
2021,1,15,00:00,UTC,1,50,-19.6,-,-16.3,-23.1
2021,1,15,06:00,UTC,-,-,-,-23.5,-,-
2021,1,16,00:00,UTC,0,50,-18.3,-,-12.5,-24
2021,1,16,06:00,UTC,-,-,-,-19.2,-,-
2021,1,17,00:00,UTC,0.3,48,-13.5,-,-7.9,-24.5
2021,1,17,06:00,UTC,-,-,-,-26.2,-,-
2021,1,18,00:00,UTC,0.4,47,-9.8,-,-5,-16.7
2021,1,18,06:00,UTC,-,-,-,-20,-,-
2021,1,19,00:00,UTC,2.3,43,-0.9,-,0.2,-5.4
2021,1,19,06:00,UTC,-,-,-,-5.4,-,-
2021,1,20,00:00,UTC,2.2,46,-4.7,-,0.2,-8.5
2021,1,20,06:00,UTC,-,-,-,-11.4,-,-
2021,1,21,00:00,UTC,3.6,48,-4.8,-,-4.3,-5.7
2021,1,21,06:00,UTC,-,-,-,-5.7,-,-
2021,1,22,00:00,UTC,1.9,50,1.1,-,1.9,-4.3
2021,1,22,06:00,UTC,-,-,-,-4.3,-,-
2021,1,23,00:00,UTC,1.1,44,2.5,-,3.2,1.6
2021,1,23,06:00,UTC,-,-,-,0.7,-,-
2021,1,24,00:00,UTC,5,37,1.4,-,2.8,0.1
2021,1,24,06:00,UTC,-,-,-,0,-,-
2021,1,25,00:00,UTC,1.9,35,0.7,-,-,0.1
2021,1,25,06:00,UTC,-,-,-,0,-,-
2021,1,26,00:00,UTC,7,33,0.4,-,1.4,-0.2
2021,1,26,06:00,UTC,-,-,-,-0.2,-,-
2021,1,27,00:00,UTC,1.7,35,-0.2,-,0.6,-1.2
2021,1,27,06:00,UTC,-,-,-,0,-,-
2021,1,28,00:00,UTC,0.6,33,-4.2,-,-1.3,-5.4
2021,1,28,06:00,UTC,-,-,-,-6.7,-,-
2021,1,29,00:00,UTC,5.5,33,-4.3,-,-2.2,-5.9
2021,1,29,06:00,UTC,-,-,-,-5.6,-,-
2021,1,30,00:00,UTC,6.3,36,-6.5,-,-4.2,-7.3
2021,1,30,06:00,UTC,-,-,-,-6.6,-,-
2021,1,31,00:00,UTC,0.1,41,-7.1,-,-6.4,-7.8
2021,1,31,06:00,UTC,-,-,-,-7.5,-,-
2021,2,1,00:00,UTC,0.1,40,-9.1,-,-6.4,-13.9
2021,2,1,06:00,UTC,-,-,-,-16.9,-,-
2021,2,2,00:00,UTC,4.5,39,-7.3,-,-4.5,-15.1
2021,2,2,06:00,UTC,-,-,-,-18.2,-,-
2021,2,3,00:00,UTC,0.3,45,-8,-,-4,-10.7
2021,2,3,06:00,UTC,-,-,-,-6.3,-,-
2021,2,4,00:00,UTC,0.1,44,-14.6,-,-10.6,-16.3
2021,2,4,06:00,UTC,-,-,-,-16.9,-,-
2021,2,5,00:00,UTC,0,44,-15.9,-,-13.2,-17.9
2021,2,5,06:00,UTC,-,-,-,-18.9,-,-
2021,2,6,00:00,UTC,0.1,43,-14.5,-,-9.7,-20.3
2021,2,6,06:00,UTC,-,-,-,-20.4,-,-
2021,2,7,00:00,UTC,0,43,-8.7,-,-5.4,-17.6
2021,2,7,06:00,UTC,-,-,-,-20.9,-,-
2021,2,8,00:00,UTC,0.1,42,-8.4,-,-5.7,-9.9
2021,2,8,06:00,UTC,-,-,-,-9.7,-,-
2021,2,9,00:00,UTC,0.2,42,-13.3,-,-9.9,-18.5
2021,2,9,06:00,UTC,-,-,-,-12.1,-,-
2021,2,10,00:00,UTC,0.1,43,-15.9,-,-12.1,-19.9
2021,2,10,06:00,UTC,-,-,-,-21.4,-,-
2021,2,11,00:00,UTC,0.1,43,-17.9,-,-13.7,-21.4
2021,2,11,06:00,UTC,-,-,-,-23,-,-
2021,2,12,00:00,UTC,0.1,43,-15.7,-,-8.6,-24.4
2021,2,12,06:00,UTC,-,-,-,-25.6,-,-
2021,2,13,00:00,UTC,0.1,43,-5.5,-,-3.2,-14.1
2021,2,13,06:00,UTC,-,-,-,-17.8,-,-
2021,2,14,00:00,UTC,0.1,43,-6.6,-,-3.8,-8.6
2021,2,14,06:00,UTC,-,-,-,-9.4,-,-
2021,2,15,00:00,UTC,0,44,-9.4,-,-4.8,-17.1
2021,2,15,06:00,UTC,-,-,-,-19.2,-,-
2021,2,16,00:00,UTC,0,44,-7.3,-,-2.9,-11.7
2021,2,16,06:00,UTC,-,-,-,-11.6,-,-
2021,2,17,00:00,UTC,-1,44,-16.6,-,-11.4,-18.7
2021,2,17,06:00,UTC,-,-,-,-22.2,-,-
2021,2,18,00:00,UTC,0.1,44,-17.3,-,-8.6,-26.8
2021,2,18,06:00,UTC,-,-,-,-28.1,-,-
2021,2,19,00:00,UTC,0.1,44,-6.8,-,-5.6,-16.4
2021,2,19,06:00,UTC,-,-,-,-17,-,-
